Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Mean Operative Temperature,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Total energy[J](Hourly)
1104940800.0,6.058333333,-3.725,95325.58333,1.283333333,97.66666667,25.0,32.08333333,232.8573105,3.281671145,19.54675887,1178656.197,0.0,3757187.139,4935843.336
1104944400.0,5.308333333,-4.566666667,95326.58333,2.166666667,74.75,0.0,0.0,243.3617455,-5.734076581,19.36877185,1363184.304,0.0,4130023.116,5493207.42
1104948000.0,4.808333333,-5.133333333,95327.58333,2.325,133.4166667,0.0,0.0,253.247531,-15.59810592,19.25819082,1617540.857,0.0,4157620.283,5775161.14
1104951600.0,4.308333333,-5.3,95328.58333,1.15,342.4166667,0.0,0.0,263.0490503,-25.98528645,19.23725023,3674037.099,0.0,4444491.902,8118529.001
1104955200.0,3.808333333,-5.066666667,95329.58333,1.158333333,95.66666667,0.0,0.0,273.4974992,-36.59066111,19.18985921,3770938.955,0.0,4564513.502,8335452.457
1104958800.0,3.308333333,-5.133333333,95330.58333,1.7,39.0,0.0,0.0,285.7613561,-47.04788195,19.1429471,3770938.955,0.0,4765788.153,8536727.108
1104962400.0,2.808333333,-5.533333333,95331.58333,1.233333333,180.0,0.0,0.0,301.9818888,-56.74788966,19.10041868,3569067.301,0.0,5214806.134,8783873.435
1104966000.0,2.308333333,-5.7,95332.58333,1.133333333,75.08333333,0.0,0.0,325.843768,-64.4081191,18.99611871,154217.9712,0.0,6286308.826,6440526.797
1104969600.0,1.75,-6.341666667,95333.58333,2.466666667,15.5,0.0,0.0,9.060921321,-67.50842079,18.93019702,57316.11482,0.0,6698179.706,6755495.821
1104973200.0,1.208333333,-7.383333333,95334.58333,3.008333333,343.75,0.0,0.0,32.57673313,-64.5982424,18.87327813,57316.11482,0.0,6960858.901,7018175.016
1104976800.0,0.65,-8.033333333,95335.58333,2.45,288.0833333,0.0,0.0,56.90289406,-57.11169336,18.82275306,57316.11482,0.0,7211780.84,7269096.955
1104980400.0,0.225,-8.316666667,95336.58333,1.908333333,2.75,0.0,0.0,73.41804376,-47.48516054,18.7780053,57316.11482,0.0,7409559.822,7466875.937
1104984000.0,-0.133333333,-8.166666667,95337.58333,1.583333333,291.75,0.0,0.0,85.83305801,-37.05203717,18.73807302,57316.11482,0.0,7576979.88,7634295.995
1104987600.0,-0.475,-8.525,95338.58333,1.266666667,333.6666667,0.0,0.0,96.35179113,-26.44399078,18.69992304,57316.11482,0.0,7734406.215,7791722.33
1104991200.0,-0.716666667,-8.725,95339.58333,1.333333333,339.8333333,0.0,0.0,106.1757165,-16.0351804,18.66432438,57316.11482,0.0,7858868.368,7916184.483
1104994800.0,-0.916666667,-8.833333333,95340.0,1.383333333,237.1666667,0.0,0.0,116.0516801,-6.131985945,18.7075097,2549103.854,0.0,10213239.14,12762342.99
